,Title,Developer,Publisher,First released,JP,EU/PAL,NA
499,Chaindive,Alvion,Sony Computer Entertainment,2003-10-16JP,Released,Unreleased,Unreleased
500,Champions of Norrath: Realms of Everquest,Snowblind Studios,Sony Online Entertainment,2004-02-10NA,Unreleased,Released,Released
501,Champions: Return to Arms,Snowblind Studios,Sony Online Entertainment,2005-02-07NA,Unreleased,Released,Released
502,Championship Manager 2006,Beautiful Game Studios,Eidos Interactive,2006-05-05EU,Unreleased,Released,Unreleased
503,Championship Manager 2007,Beautiful Game Studios,Eidos Interactive,2007-03-16EU,Unreleased,Released,Unreleased
504,Championship Manager 5,Beautiful Game Studios,Eidos Interactive,2005-05-13PAL,Unreleased,Released,Unreleased
505,Chandragupta: Warrior Prince,Immersive Games,Sony Computer Entertainment,2009-09-28IN,Unreleased,Released,Unreleased
506,Chanter Sharp: Kimi no Uta ga Todoitara,Terios,Interchannel,2007-08-30JP,Released,Unreleased,Unreleased
507,Chaos Field: New Order,MileStone Inc.,MileStone Inc.,2005-12-15JP,Released,Unreleased,Unreleased
508,Chaos Legion,Capcom,Capcom,2003-03-06JP,Released,Released,Released
509,Chaos Wars,Idea Factory,"Idea FactoryJP, O~3 EntertainmentNA",2006-09-21JP,Released,Unreleased,Released
510,Charlie and the Chocolate Factory,High Voltage Software,"Global Star SoftwareNA, 2K GamesEU",2005-07-11NA,Unreleased,Released,Released
511,Charlie's Angels,Neko Entertainment,Ubisoft,2003-07-04EU,Unreleased,Released,Unreleased
512,Charlotte's Web,Atomic Planet Entertainment,Blast! Entertainment Ltd,2006-11-14EU,Unreleased,Released,Unreleased
513,Check-i-TV,Sony Computer Entertainment,Sony Computer Entertainment,2001-04-26JP,Released,Unreleased,Unreleased
514,Cheggers Party Quiz,Oxygen Games,Oxygen Games,2007-10-26EU,Unreleased,Released,Unreleased
515,Chemist Tycoon,Aqua Pacific,Phoenix Games,2006-09-29EU,Unreleased,Released,Unreleased
516,Chenuen no San Goku Shi,Game Arts,ESP Software,2001-11-01JP,Released,Unreleased,Unreleased
517,Cherry Blossom,Takuyo,Takuyo,2004-12-30JP,Released,Unreleased,Unreleased
518,Chess Challenger,Play It!,Play It!,2004-01-16EU,Unreleased,Released,Unreleased
519,Chess Crusade,Slam Games,Zoo Digital Publishing,2008?09EU,Unreleased,Released,Unreleased
520,Chessmaster,Ubisoft,Ubisoft,2003-04-25EU,Unreleased,Released,Released
521,Choaniki: Sei Naru Protein Densetsu,Global A,Global A,2003-10-30JP,Released,Unreleased,Unreleased
522,Chobits: Chii dake no Hito,Affect,Broccoli,2003-05-15JP,Released,Unreleased,Unreleased
523,Chocolat: Maid Cafe Curio,HuneX,Alchemist,2005-06-30JP,Released,Unreleased,Unreleased
524,ChopLifter: Crisis Shield,ASK,Xicat Interactive,2004-02-13EU,Unreleased,Released,Unreleased
525,ChoroQ,Barnhouse Effect,"TakaraJP, AtlusNA, Zoo Digital PublishingEU",2003-11-27JP,Released,Released,Released
526,ChoroQ Works,Atlus,Atlus,2005-05-26JP,Released,Unreleased,Unreleased
527,Chou Gouka! Quiz Ketteiban,Hudson Soft,Hudson Soft,2003-04-17JP,Released,Unreleased,Unreleased
528,Chou-jikuu Yousai Macross,Sega AM2,Bandai,2003-10-23JP,Released,Unreleased,Unreleased
529,Chou-Saisoku! Zokusha King BU,Tamsoft,D3 Publisher,2004-04-28JP,Released,Unreleased,Unreleased
530,Chou-Saisoku! Zokusha King BU no BU,Tamsoft,D3 Publisher,2005-05-26JP,Released,Unreleased,Unreleased
531,Chou! Rakushii Internet Tomodachi no Wa,SunSoft,SunSoft,2002-01-24JP,Released,Unreleased,Unreleased
532,Choukousoku Igo,Success,Success,2001-02-15JP,Released,Unreleased,Unreleased
533,Choukousoku Mahjong,Success,Success,2000-12-21JP,Released,Unreleased,Unreleased
534,Choukousoku Mahjong Plus,Success,Success,2002-02-28JP,Released,Unreleased,Unreleased
535,Choukousoku Reversi,Success,Success,2000-12-21JP,Released,Unreleased,Unreleased
536,Choukousoku Shogi,Success,Success,2001-02-15JP,Released,Unreleased,Unreleased
537,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Traveller's Tales,"Buena Vista GamesEU,NA, D3 PublisherJP",2005-11-14NA,Released,Released,Released
538,The Chronicles of Narnia: Prince Caspian,Traveller's Tales,Disney Interactive Studios,2008-05-15NA,Unreleased,Released,Released
539,Chu~Kana Janshi,GeneX,CyberFront,2004-12-28JP,Released,Unreleased,Unreleased
540,Chulip,Punchline,"Victor InteractiveJP, NatsumeNA",2002-10-03JP,Released,Unreleased,Released
541,CID The Dummy,Twelve Games,Oxygen Games,2009-04-17EU,Unreleased,Released,Released
542,Cinderella,Phoenix Games,Phoenix Games,2006-10-13EU,Unreleased,Released,Unreleased
543,Cinema Surfing: Youga Taizen,Victor Interactive Software,Victor Interactive Software,2001-12-27JP,Released,Unreleased,Unreleased
544,Circuit Blasters,Supersonic Software,Metro3D,2005-07-21EU,Unreleased,Released,Unreleased
545,Circus Maximus: Chariot Wars,Kodiak Interactive,THQ,2002-07-05PAL,Unreleased,Released,Unreleased
546,City Crisis,Syscom Entertainment,"Syscom EntertainmentJP, Take-Two InteractiveEU,NA",2001-06-28JP,Released,Released,Released
547,City Soccer Challenge,Data Design Interactive,Phoenix Games,2006-07-28EU,Unreleased,Released,Unreleased
548,Clannad,Visual Arts,Interchannel,2006-02-23JP,Released,Unreleased,Unreleased
549,Classic British Motor Racing,Data Design Interactive,Metro3D,2006-02-10EU,Unreleased,Released,Unreleased
550,Clear: Atarashii Kaze no Fuku Oka de,Moonstone,Sweets,2009-02-19JP,Released,Unreleased,Unreleased
551,Clever Kids-Dino Land,Midas Interactive Entertainment,Midas Interactive Entertainment,2007-11-02EU,Unreleased,Released,Unreleased
552,Clever Kids-Pony World,Midas Interactive Entertainment,Midas Interactive Entertainment,2007-11-02EU,Unreleased,Released,Unreleased
553,Climax Tennis: WTA Tour Edition,Konami,Konami,2002-01-17JP,Released,Unreleased,Unreleased
554,Clock Tower 3,Capcom Production Studio 3,Capcom,2002-12-12JP,Released,Released,Released
555,Clock Zero: Shuuen no Ichibyou,Otomate,Idea Factory,2010-11-25JP,Released,Unreleased,Unreleased
556,Clover Heart's: Looking for Happiness,ALcot,NEC Interchannel,2004-08-26JP,Released,Unreleased,Unreleased
557,Clover no Kuni no Alice,Quinrose,Prototype,2010-04-15JP,Released,Unreleased,Unreleased
558,Club Football,Codemasters,Codemasters,2003-10-10EU,Unreleased,Released,Unreleased
559,Club Football 2005,Codemasters,Codemasters,2004-10-15EU,Unreleased,Released,Unreleased
560,Clumsy Shumsy,Phoenix Games,Phoenix Games,2006-10-27EU,Unreleased,Released,Unreleased
561,Cluster Edge,Matrix Software,Marvelous Entertainment,2006-09-14JP,Released,Unreleased,Unreleased
562,CMT Presents: Karaoke Revolution Country,Harmonix,Konami,2006-03-21NA,Unreleased,Unreleased,Released
563,Cocoto Fishing Master,Neko Entertainment,"Big Ben InteractiveEU, Conspiracy EntertainmentNA",2007-12-07NA,Unreleased,Released,Released
564,Cocoto Funfair,Neko Entertainment,Big Ben Interactive,2006EU,Unreleased,Released,Unreleased
565,Cocoto Kart Racer,Neko Entertainment,Big Ben Interactive,2005-03-02EU,Unreleased,Released,Unreleased
566,Cocoto Platform Jumper,Neko Entertainment,Big Ben Interactive,2004-07-02PAL,Unreleased,Released,Unreleased
567,Cocoto Tennis Master,Neko Entertainment,Big Ben Interactive,2006EU,Unreleased,Released,Unreleased
568,Code Age Commanders,Square Enix,Square Enix,"2005-10-13AS,JP",Released,Unreleased,Unreleased
569,Code Geass: Lelouch of the Rebellion: Lost Col...,Crafts & Meister,Bandai Namco,2008-03-27JP,Released,Unreleased,Unreleased
570,Code Lyoko: Quest for Infinity,Neko Entertainment,The Game Factory,2008-07-21NA,Unreleased,Released,Released
571,Code of the Samurai,Red Entertainment,"SegaJP, Midas Interactive EntertainmentEU",2005-02-10JP,Released,Released,Unreleased
572,Codename: Kids Next Door,High Voltage Software,Global Star Software,2005-10-11NA,Unreleased,Released,Released
573,Cold Fear,Darkworks,Ubisoft,2005-03-04EU,Unreleased,Released,Released
574,Cold Winter,Swordfish Studios,Vivendi Universal Games,2005-05-11NA,Unreleased,Released,Released
575,Colin McRae Rally 04,Codemasters,Codemasters,2003-09-19PAL,Unreleased,Released,Unreleased
576,Colin McRae Rally 3,Codemasters,Codemasters,2002-10-25EU,Unreleased,Released,Released
577,Colin McRae Rally 2005,Codemasters,Codemasters,2004-09-24EU,Unreleased,Released,Unreleased
578,College Hoops 2K6,Visual Concepts,2K Sports,2005-11-30NA,Unreleased,Unreleased,Released
579,College Hoops 2K7,Visual Concepts,2K Sports,2006-12-11NA,Unreleased,Unreleased,Released
580,College Hoops 2K8,Visual Concepts,2K Sports,2007-11-19NA,Unreleased,Unreleased,Released
581,Coloball 2002,Vanpool,Enterbrain,2002-06-27JP,Released,Unreleased,Unreleased
582,Colorful Aquarium: My Little Mermaid,Eufonie,NIne'sFox,2007-10-25JP,Released,Unreleased,Unreleased
583,Colorful Box: To Love,Sound Tail,KID,2004-05-27JP,Released,Unreleased,Unreleased
584,Colorio: Hagaki Print,Epson,Epson,2000-12-07JP,Released,Unreleased,Unreleased
585,Colosseum: Road to Freedom,Ertain,KOEI,2005-02-17JP,Released,Released,Released
586,Combat Ace,Phoenix Games,Phoenix Games,2006-10-13EU,Unreleased,Released,Unreleased
587,Combat Elite: WWII Paratroopers,BattleBorne Entertainment,SouthPeak Games,2005-11-21NA,Unreleased,Unreleased,Released
588,Combat Queen,General Entertainment,Taito,2002-08-01JP,Released,Unreleased,Unreleased
589,Commandos: Strike Force,Pyro Studios,"Eidos InteractiveEU,NA, SpikeJP",2006-03-17EU,Released,Released,Released
590,Commandos 2: Men of Courage,Pyro Studios,Eidos Interactive,2002-08-28NA,Unreleased,Released,Released
591,Conan,Cauldron,TDK Mediactive,2004-05-07EU,Unreleased,Released,Unreleased
592,Conflict: Desert Storm,Pivotal Games,"SCiEU, Gotham GamesNA, CapcomJP",2002-09-13EU,Released,Released,Released
593,Conflict: Desert Storm II: Back to Baghdad,Pivotal Games,"SCiEU, Gotham GamesNA, CapcomJP",2003-09-19EU,Released,Released,Released
594,Conflict: Global Terror,Pivotal Games,"SCiEU, 2K GamesNA",2005-09-30EU,Unreleased,Released,Released
595,Conflict: Vietnam,Pivotal Games,"SCiEU, Global Star SoftwareNA",2004-09-03EU,Unreleased,Released,Released
596,Conflict Zone,MASA Group,Ubisoft,2002-08-16EU,Unreleased,Released,Released
597,Conspiracy: Weapons of Mass Destruction,Kuju Entertainment,Oxygen Games,2005-06-17EU,Unreleased,Released,Unreleased
598,Constantine,Bits Studios,"THQNA, SCiEU, Marvelous EntertainmentJP",2005-02-14NA,Released,Released,Released
599,Contra: Shattered Soldier,Konami,Konami,2002-10-22NA,Released,Released,Released
600,The Conveni 3,Hamster Corporation,Hamster Corporation,2003-04-24JP,Released,Unreleased,Unreleased
601,The Conveni 4,Hamster Corporation,Hamster Corporation,2006-04-27JP,Released,Unreleased,Unreleased
602,Cool Boarders 2001,Idol Minds,Sony Computer Entertainment,2001-05-21NA,Unreleased,Unreleased,Released
603,Cool Boarders: Code Alien,UEP Systems,UEP Systems,2000-12-21JP,Released,Unreleased,Unreleased
604,Cool Shot,DigiCube,"DigiCubeJP, Phoenix GamesEU",2003-01-23JP,Released,Released,Unreleased
605,Coraline,Papaya Studio,D3 Publisher,2009-01-27NA,Unreleased,Released,Released
606,Corvette,Steel Monkeys,"Global Star SoftwareNA, TDK MediactiveEU",2004-03-09NA,Unreleased,Released,Released
607,Corvette Evolution GT,Milestone srl,"Valcon GamesNA, Black Bean GamesPAL",2006-10-11NA,Unreleased,Released,Released
608,Counter Terrorist Special Forces: Fire for Effect,Asobo Studio,"LSPEU, Titus SoftwareJP",2005-04-01EU,Released,Released,Unreleased
609,Countryside Bears,Phoenix Games,Phoenix Games,2006EU,Unreleased,Released,Unreleased
610,Covert Command,Tamsoft,"D3 PublisherJP, Essential GamesEU",2006-08-03JP,Released,Released,Unreleased
611,Cowboy Bebop: Tsuioku no Serenade,Bandai,Bandai,2005-08-25JP,Released,Unreleased,Unreleased
612,CR Pachinko Dokaben: Pachitte Chonmage Tatsujin 7,Hack Berry,Hack Berry,2004-10-07JP,Released,Unreleased,Unreleased
613,CR Pachinko Yellow Cab: Pachitte Chonmage Tatsujin 6,Hack Berry,Hack Berry,2004-07-15JP,Released,Unreleased,Unreleased
614,Crabby Adventure,Phoenix Games,Phoenix Games,2007-12-01EU,Unreleased,Released,Unreleased
615,Crash 'N' Burn,Climax Studios,Eidos Interactive,2004-11-15NA,Unreleased,Released,Released
616,Crash Bandicoot Action Pack,"Radical Entertainment, Traveller's Tales, Vica...",Vivendi Games,2007-06-12NA,Unreleased,Released,Released
617,Crash Bandicoot: The Wrath of Cortex,Traveller's Tales,"Universal InteractiveEU,NA, KonamiJP",2001-11-01NA,Released,Released,Released
618,Crash: Mind Over Mutant,Radical Entertainment,"ActivisionNA, Vivendi GamesPAL",2008-10-07NA,Unreleased,Released,Released
619,Crash Nitro Kart,Vicarious Visions,"Universal InteractiveNA,PAL, KonamiJP",2003-11-11NA,Released,Released,Released
620,Crash Tag Team Racing,Radical Entertainment,Vivendi Universal Games,2005-10-19NA,Released,Released,Released
621,Crash of the Titans,Radical Entertainment,Vivendi Games,2007-10-04NA,Unreleased,Released,Released
622,Crash Twinsanity,Traveller's Tales,Vivendi Universal Games,2004-09-28NA,Released,Released,Released
623,Crashed,Rage Software,Rage Software,2002-09-27EU,Unreleased,Released,Unreleased
624,Crazy Chicken X,Sproing Interactive,Focus Multimedia,2006-11-17EU,Unreleased,Released,Unreleased
625,Crazy Frog Arcade Racer,Neko Entertainment,"Digital JestersEU, Valcon GamesNA",2006-12-01EU,Unreleased,Released,Released
626,Crazy Frog Racer,Neko Entertainment,Digital Jesters,2005-12-09EU,Unreleased,Released,Unreleased
627,Crazy Golf,Phoenix Games,Phoenix Games,2005-02-25EU,Unreleased,Released,Unreleased
628,Crazy Golf World Tour,Liquid Games,Liquid Games,2005-07-22EU,Unreleased,Released,Unreleased
629,Crazy Taxi,Acclaim Studios Cheltenham,"Acclaim EntertainmentEU,NA, SegaJP",2001-05-14NA,Released,Released,Released
630,Crescent Suzuki Racing,Kuju Entertainment,Midas Interactive Entertainment,2004-04-08EU,Unreleased,Released,Unreleased
631,Cricket 07,EA Sports,EA Sports,2006-11-16AU,Unreleased,Released,Unreleased
632,Cricket 2002,EA Sports,EA Sports,2002-02-01EU,Unreleased,Released,Unreleased
633,Cricket 2004,HB Studios Multimedia,EA Sports,2004-03-05EU,Unreleased,Released,Unreleased
634,Cricket 2005,HB Studios Multimedia,EA Sports,2005-07-01EU,Unreleased,Released,Unreleased
635,Crime Life: Gang Wars,Hothouse Creations,Konami,2005-09-01EU,Unreleased,Released,Unreleased
636,Crimson Empire: Circumstances to Serve a Noble,QuinRose,QuinRose,2010-12-16JP,Released,Unreleased,Unreleased
637,Crimson Sea 2,Koei,Koei,2004-03-30NA,Released,Released,Released
638,Crimson Tears,"Spike, DreamFactory",Capcom,2004-04-22JP,Released,Released,Released
639,Critical Bullet: 7th Target,Flagship,Capcom,2002-10-24JP,Released,Unreleased,Unreleased
640,Critical Velocity,Namco,Namco,2005-10-13JP,Released,Unreleased,Unreleased
641,Cross Channel: To All People,FlyingShine,KID,2004-03-18JP,Released,Unreleased,Unreleased
642,Crossword,Success Corporation,Success Corporation,2004-01-22JP,Released,Unreleased,Unreleased
643,"Crouching Tiger, Hidden Dragon",Genki,"UbisoftEU,NA, ESP SoftwareJP",2003-10-09NA,Released,Released,Released
644,Crusty Demons,Climax Studios,Deep Silver,2006-11-24EU,Unreleased,Released,Unreleased
645,CSI: 3 Dimensions of Murder,Telltale Games,Ubisoft,2007-09-25NA,Unreleased,Released,Released
646,Cubic Lode Runner,Hudson Soft,Hudson Soft,2003-11-27JP,Released,Unreleased,Unreleased
647,Cubix: Robots for Everyone: Showdown,Blitz Games,3DO,2003-06-02NA,Unreleased,Unreleased,Released
648,"Cue Academy: Snooker, Pool, Billiards",Midas Interactive Entertainment,Midas Interactive Entertainment,2006-09-01EU,Unreleased,Released,Unreleased
649,Culdcept,Omiya Soft,"SegaJP, AK CommunicationsKO, NEC InterchannelNA",2002-09-26JP,Released,Unreleased,Released
650,Curious George,Monkey Bar Games,Namco,2006-02-01NA,Unreleased,Released,Released
651,Curry House CoCo Ichibanya,Dorart,Dorart,2004-05-20JP,Released,Unreleased,Unreleased
652,Curse: The Eye of Isis,Asylum Entertainment,Wanadoo Edition,2004-02-27EU,Unreleased,Released,Unreleased
653,Cy Girls,Konami,Konami,2004-02-19JP,Released,Released,Released
654,Cyber Jansou,Konami,Konami,2002-03-28JP,Released,Unreleased,Unreleased
655,Cyber Troopers Virtual-On Marz,Hitmaker,Sega,2003-05-29JP,Released,Unreleased,Released
656,Cyclone Circus,Playlogic Entertainment,Playlogic Entertainment,2006-02-01EU,Unreleased,Released,Unreleased
657,D -> A: White,Tonkin House,Tonkin House,2003-12-25JP,Released,Unreleased,Unreleased
658,D -> A: White,Tonkin House,Tonkin House,2004-12-02JP,Released,Unreleased,Unreleased
659,D-Unit Drift Racing,Phoenix Games,Phoenix Games,2006-10-13EU,Unreleased,Released,Unreleased
660,D. C. F. S. ~Da Capo Four Seasons~,Kadokawa Games,Kadokawa Games,2005-12-15JP,Released,Unreleased,Unreleased
661,D.C. II P.S.: Da Capo II Plus Situation,Circus,Kadokawa Games,2008-05-29JP,Released,Unreleased,Unreleased
662,D.C.: Da Capo,Circus,Kadokawa Games,2008-02-14JP,Released,Unreleased,Unreleased
663,D.C.I.F.: Da Capo Innocent Finale,Circus,Circus,2009-04-29JP,Released,Unreleased,Unreleased
664,D.C.P.S. Da Capo Plus Situation,ESP Software,ESP Software,2003-10-30JP,Released,Unreleased,Unreleased
665,D.Gray-man: Sousha no Shikaku,Konami,Konami,2008-09-11JP,Released,Unreleased,Unreleased
666,D.N.A.: Dark Native Apostle,Hudson Soft,Hudson Soft,2001-09-06JP,Released,Released,Unreleased
667,D.N.Angel: Kurenai no Tsubasa,Takara,Takara,2003-09-25JP,Released,Unreleased,Unreleased
668,D1 Professional Drift Grand Prix Series,Yuke's,Yuke's,2005-02-17JP,Released,Unreleased,Released
669,D1 Professional Drift Grand Prix Series 2005,Yuke's,Yuke's,2005-10-20JP,Released,Unreleased,Unreleased
670,The Da Vinci Code,The Collective,2K Games,2006-05-15NA,Unreleased,Released,Released
671,Daemon Summoner,Atomic Planet Entertainment,Midas Interactive Entertainment,2006-03-31EU,Unreleased,Released,Unreleased
672,Dai Guruguru Onsen,Sega,Sega,2002-10-31JP,Released,Unreleased,Unreleased
673,Daisan Teikoku Koubouki,Global A,Global A,2004-01-15JP,Released,Unreleased,Unreleased
674,Daisan Teikoku Koubouki II,Global A,Marionette,2005-09-01JP,Released,Unreleased,Unreleased
675,Daisenryaku 1941,SystemSoft Alpha,Sammy Studios,2002-09-26JP,Released,Unreleased,Unreleased
676,Daisenryaku: Dai Toua Kouboushi ,SystemSoft Alpha,SystemSoft Alpha,2008-09-25JP,Released,Unreleased,Unreleased
677,Daisenryaku VII: Exceed,SystemSoft Alpha,"SystemSoft AlphaJP, Valcon GamesNA",2006-12-14JP,Released,Unreleased,Released
678,Daito Giken Koushiki Pachi-Slot Simulator: 24 ? Twenty-Four,Paon DP,Paon DP,2008-10-09JP,Released,Unreleased,Unreleased
679,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,Daito,Daito,2006-08-17JP,Released,Unreleased,Unreleased
680,Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou,Paon DP,Daito,2005-11-02JP,Released,Unreleased,Unreleased
681,Daito Giken Koushiki Pachi-Slot Simulator: Shake II,Paon DP,Paon DP,2007-07-26JP,Released,Unreleased,Unreleased
682,Daito Giken Koushiki Pachi-Slot Simulator: Shin Yoshimune,Paon DP,Paon DP,2008-03-13JP,Released,Unreleased,Unreleased
683,Daito Giken Koushiki Pachi-Slot Simulator: Yosimune,Daito,Daito,2004-12-09JP,Released,Unreleased,Unreleased
684,Daito Giken Premium Pachi-Slot Collection: Yosimune,Paon DP,Daito,2006-07-06JP,Released,Unreleased,Unreleased
685,Dakar 2,Acclaim Studios Cheltenham,Acclaim Entertainment,2003-03-07EU,Unreleased,Released,Unreleased
686,Dalmatians 3,The Code Monkeys,Phoenix Games,2006EU,Unreleased,Released,Unreleased
687,Dance Dance Revolution: Disney Channel Edition,Keen Games,Konami Digital Entertainment,2008-01-08NA,Unreleased,Unreleased,Released
688,Dance Dance Revolution Extreme,Konami,Konami,2003-10-09JP,Released,Unreleased,Released
689,Dance Dance Revolution Extreme 2,Konami Digital Entertainment,Konami Digital Entertainment,2005-09-27NA,Unreleased,Unreleased,Released
690,Dance Dance Revolution Party Collection,Konami Computer Entertainment Japan,Konami,2003-12-11JP,Released,Unreleased,Unreleased
691,Dance Dance Revolution Strike,Konami Digital Entertainment,Konami Digital Entertainment,2006-02-16JP,Released,Unreleased,Unreleased
692,Dance Dance Revolution SuperNova,Konami Digital Entertainment,Konami Digital Entertainment,2006-09-26NA,Released,Released,Released
693,Dance Dance Revolution SuperNova 2,Konami Digital Entertainment,Konami Digital Entertainment,2007-09-25NA,Released,Released,Released
694,Dance Dance Revolution X,Konami Digital Entertainment,Konami Digital Entertainment,2008-09-12NA,Released,Unreleased,Released
695,Dance Dance Revolution X2,Konami Digital Entertainment,Konami Digital Entertainment,2009-10-27NA,Unreleased,Unreleased,Released
696,Dance Factory,Broadsword Interactive,Codemasters,2006-08-29NA,Unreleased,Released,Released
697,Dance Fest,Broadsword Interactive,Oxygen Games,2006-10-20EU,Unreleased,Released,Unreleased
698,Dance Party: Club Hits,Broadsword Interactive,Nordic Games Publishing,2009-05-08EU,Unreleased,Released,Unreleased
699,Dance Party: Pop Hits,Broadsword Interactive,Nordic Games Publishing,2009-05-08EU,Unreleased,Released,Unreleased
700,Dance Summit 2001: Bust A Move,Metro,Enix,2000-11-02JP,Released,Unreleased,Unreleased
701,Dance: UK,Broadsword Interactive,BigBen Interactive,2003-10-03EU,Unreleased,Released,Unreleased
702,Dance: UK eXtra Trax,Broadsword Interactive,BigBen Interactive,2004-04-23EU,Unreleased,Released,Unreleased
703,Dance: UK XL Party,Broadsword Interactive,BigBen Interactive,2005-09-30EU,Unreleased,Released,Unreleased
704,Dancing Stage Fever,Konami Digital Entertainment,Konami Digital Entertainment,2003-10-24EU,Unreleased,Released,Unreleased
705,Dancing Stage Fusion,Konami Digital Entertainment,Konami Digital Entertainment,2004-11-05EU,Unreleased,Released,Unreleased
706,Dancing Stage Max,Konami Digital Entertainment,Konami Digital Entertainment,2005-11-25EU,Unreleased,Released,Unreleased
707,Dancing With The Stars,Zo? Mode,Activision,2007-10-23NA,Unreleased,Unreleased,Released
708,Dark Angel: Vampire Apocalypse,Metro 3D,Metro 3D,2001-07-08NA,Unreleased,Unreleased,Released
709,Dark Cloud,Level-5,Sony Computer Entertainment,2000-12-14JP,Released,Released,Released
710,Dark Cloud 2,Level-5,Sony Computer Entertainment,2002-11-28JP,Released,Released,Released
711,Dark Summit,Radical Entertainment,THQ,2001-11-26NA,Unreleased,Released,Released
712,Dark Wind,Atomic Planet Entertainment,In2Games,2004-10-22EU,Unreleased,Released,Unreleased
713,Darkwatch,High Moon Studios,"CapcomNA, UbisoftEU",2005-08-16NA,Unreleased,Released,Released
714,Darling Special Backlash: Koi no Exhaust Heat?...,NEST,D3 Publisher,2004-08-05JP,Released,Unreleased,Unreleased
715,Dave Mirra Freestyle BMX 2,Z-Axis,Acclaim Max Sports,2001-08-27NA,Unreleased,Released,Released
716,David Beckham Soccer,Rage Software Limited,Rage Software Limited,2002-06-07EU,Unreleased,Released,Unreleased
717,David Douillet Judo,10tacle Studios,Bigben Interactive,2006-10-02EU,Unreleased,Released,Unreleased
718,Dawn of Mana,Square-Enix,Square-Enix,2006-12-21JP,Released,Unreleased,Released
719,DDR Festival Dance Dance Revolution,Konami Computer Entertainment Japan,Konami,2004-11-18JP,Released,Unreleased,Unreleased
720,DDRMAX Dance Dance Revolution,Konami of America,Konami of America,2002-10-28NA,Unreleased,Released,Released
721,DDRMAX Dance Dance Revolution 6thMix,Konami Computer Entertainment Tokyo,Konami,2002-05-16JP,Released,Unreleased,Unreleased
722,DDRMAX2 Dance Dance Revolution,Konami Digital Entertainment,Konami Digital Entertainment,2003-09-23NA,Unreleased,Unreleased,Released
723,DDRMAX2 Dance Dance Revolution 7thMix,Konami Computer Entertainment Japan,Konami,2003-04-24JP,Released,Unreleased,Unreleased
724,De Grote Nederlandse Voetbalquiz,Liquid Games,Liquid Games,2006-06-06EU,Unreleased,Released,Unreleased
725,Dead Eye Jim,Phoenix Games,Phoenix Games,2007-01-12EU,Unreleased,Released,Unreleased
726,Dead or Alive 2: Hardcore,Team Ninja,"TecmoJP,NA, Sony Computer EntertainmentEU",2000-03-30JP,Released,Released,Released
727,Dead To Rights,Namco,Namco,2002-11-18NA,Released,Released,Released
728,Dead To Rights II,WideScreen Games,Namco,2005-04-12NA,Unreleased,Released,Released
729,Deadly Strike,Psyworks Co. Ltd.,"D3PublisherJP, Midas Interactive EntertainmentPAL",2004-02-19JP,Released,Released,Unreleased
730,Dear Boys: Fast Break!,KCEJ,Konami,2003-09-18JP,Released,Unreleased,Unreleased
731,Dear My Friend: Love Like Powdery Snow,Yeti,Yeti,2005-04-28JP,Released,Unreleased,Unreleased
732,Dear My Sun!! Musk * Ikusei * Capriccio,HuneX,D3 Publisher,2007-09-06JP,Released,Unreleased,Unreleased
733,DearS,MediaWorks,MediaWorks,2004-06-24JP,Released,Unreleased,Unreleased
734,Death by Degrees,Namco,"NamcoAS,JP,NA, Sony Computer EntertainmentKO,PAL",2005-01-27JP,Released,Released,Released
735,Death Connection,Otomate,Idea Factory,2009-12-17JP,Released,Unreleased,Unreleased
736,Deep Water,Tamsoft,"D3 PublisherJP, 505 Game StreetEU",2004-06-24JP,Released,Released,Unreleased
737,Deer Hunter,Coresoft,Atari,2003-12-22NA,Unreleased,Unreleased,Released
738,Def Jam: Fight for NY,Aki Corporation,EA Games,2004-09-20NA,Released,Released,Released
739,Def Jam Vendetta,Aki Corporation,EA Sports BIG,2003-03-31NA,Released,Released,Released
740,Defender,7 Studios,Midway Games,2002-10-22NA,Unreleased,Released,Released
741,Deka Voice,Acquire,Sony Computer Entertainment,2003-02-13JP,Released,Unreleased,Unreleased
742,Delta Force: Black Hawk Down,Rebellion Developments,NovaLogic,2005-07-26NA,Unreleased,Released,Released
743,Delta Force: Black Hawk Down: Team Sabre,Rebellion Developments,NovaLogic,2006-11-10EU,Unreleased,Released,Released
744,Demolition Girl,Tamsoft,"D3 PublisherJP, 505 Game StreetPAL",2004-05-20JP,Released,Released,Unreleased
745,Demon Chaos,Genki,"GenkiAS,JP, KonamiPAL",2005-11-22AS,Released,Released,Unreleased
746,Dengeki SP: Futakoi Collection,MediaWorks,MediaWorks,2006-03-02JP,Released,Unreleased,Unreleased
747,Densha de Go! 3 Tsuukinhen,Taito,"Taito, D3 Publisher",2001-03-15JP,Released,Unreleased,Unreleased
748,Densha de Go! Final,Taito,Taito,2004-05-27JP,Released,Unreleased,Unreleased
749,Densha de Go! Professional 2,Taito,Taito,2003-02-27JP,Released,Unreleased,Unreleased
750,Densha de Go! Ryojouhen,Taito,Taito,2002-07-25JP,Released,Unreleased,Unreleased
751,Densha de Go! Shinkansen: Sanyou Shinkansen-hen,Taito,Taito,2001-09-20JP,Released,Unreleased,Unreleased
